zip,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11
5300,17198.68250124411,17242.561859074514,15518.62512262203,15761.005439315037,16851.828733914932,21434.100798498086,15537.377847994981,11239.318717740103,16105.372823625823,17264.21612557631,16197.449833911824,14425.773666922985,14232.362100028642,17571.503685126536,15825.356872797294,17152.760308351462,14900.608519269777,12262.744872972145,20371.158507389293,14459.495388759942,11467.43887185001,18213.596492934812,15776.360885733982,21072.50881619254,16908.860741481345,15127.586346603273,17851.440422057458,18529.13577990616,13721.432532477169
5320,9991.734011651495,15928.270042194094,13373.61505412976,11489.980364980365,12646.825396825398,10482.32366083106,13211.920529801324,13672.672519395672,14336.160108548169,11937.252040534539,9388.888888888889,10576.092338467133,11121.699819168172,10021.956684092607,13915.860752560448,10896.46340188693,14159.507072623772,12811.363636363636,14594.992224176443,14739.430831663842,12654.408060917805,12211.973408781918,14475.15983299594,15019.840515033558,15463.678895561097,19366.197183098593,14956.593051338225,13251.026322144411,13579.542888115993
5330,10967.532467532466,8661.749148646004,11640.445577619646,12608.288541461332,10055.871038651767,13901.360544217689,11271.367521367521,,10714.285714285714,9998.21217648289,11463.564213564212,12518.029465574109,10441.801420415435,11721.071879802226,9377.695820426678,12046.951449580929,30920.053366174056,13969.653536927188,10000.757728834109,10380.116959064328,13259.952287660337,9589.725430798722,19904.18328242995,17308.81066754534,16585.068600769995,8367.34693877551,13611.916545209813,11466.084893736997,14950.57707549039
5350,7809.0044742729315,,8269.23076923077,,,,,,,,6299.212598425197,,,,9869.826435246996,5656.934306569343,,,,,10696.985721840296,13742.146500110874,,,12250.0,,,9905.66037735849,12107.142857142857
5370,10059.52380952381,,12612.612612612613,,8574.87922705314,3369.8224852071007,,,13590.90909090909,7884.615384615385,,3847.4220623501196,18125.0,13593.406593406595,9101.123595505618,,7324.84076433121,15979.38144329897,9028.511530398324,26217.303822937625,25743.19465001864,11971.830985915492,4633.464285714285,24842.202318229716,11113.463860617561,,10225.36516241552,10218.978102189782,14260.778635778635
5380,14400.0,,11990.74074074074,,6470.588235294118,4608.695652173913,,4600.0,,,,,,2865.8536585365855,,,,8260.869565217392,7954.545454545455,,3178.8079470198677,8176.265927950059,,,9851.851851851852,1923.076923076923,7339.733025708635,,5555.555555555556
5390,18421.052631578947,11447.434292866083,22779.032258064515,20394.142654436164,50416.666666666664,25078.616261538453,22281.55339805825,,63333.333333333336,,18820.499484456126,30284.440874236876,28931.758569668134,21299.119228591524,19909.23335509126,33544.77830066383,26325.04873294347,37078.651685393255,13983.050847457627,24576.271186440677,31031.645569620254,31600.0,22116.46482056305,68478.26086956522,22406.17048346056,6568.6274509803925,17163.667382845466,17444.586372552476,18750.0
5400,9700.870421025802,12896.072932356486,10986.6825814142,10879.616379144314,13155.517187717998,11785.129682455981,8226.58928211333,9775.29383670846,9795.116545116545,12754.798689138575,13692.453654125318,,,15910.453708125046,16801.925334360432,11282.871135712956,13741.038066907442,10946.558287213318,12322.1190462943,12464.994085702176,11139.820469036296,11783.350044605133,13097.341357453917,12034.614645883898,11139.98103896726,16197.4230976872,17253.125257541185,16841.313102617125,11434.985718835384
5450,,,,,,,,,11465.516179440108,11636.077288093358,15576.766400964889,,,19610.227215253464,14553.88958499819,13025.380713764638,9364.691551717931,16049.412735036678,11387.205373215898,17058.49662327362,18602.571867913746,17060.096694630764,13930.312300689968,14780.141835253346,14504.660062945624,15139.22730219596,13083.010078431125,18686.796331046946,10404.15898909144
5462,13961.038961038961,14763.779527559054,4310.948717948718,15600.729136692995,8089.430894308943,,13736.306729264477,,15172.035298209008,,,,,19005.847953216373,13299.075128343422,12764.847090073099,,11256.600893436107,17708.440721649484,5710.526315789473,14294.932440893608,14534.116501692035,11377.952755905511,12356.26202229129,13660.977831993012,,10259.571217569905,11070.820528593282,
