,id,zip_code,name,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,pretty_name
36,288,5932,Humble,12966.43,15424.45,10139.06,7892.9,11120.38,9319.45,4567.31,5917.16,8770.84,16830.37,10956.08,12202.2,16858.96,10287.24,11956.0,10739.5,9301.58,10439.13,,12470.81,19288.18,9215.69,12745.67,8537.25,14125.24,6582.85,12764.47,10168.7,13474.86,5932 Humble
37,289,5932,Humble,12966.43,15424.45,10139.06,7892.9,11120.38,9319.45,4567.31,5917.16,8770.84,16830.37,10956.08,12202.2,16858.96,10287.24,11956.0,10739.5,9301.58,10439.13,,12470.81,19288.18,9215.69,12745.67,8537.25,14125.24,6582.85,12764.47,10168.7,13474.86,5932 Humble
38,300,5462,Morud,13961.04,14763.78,4310.95,15600.73,8089.43,,13736.31,,15172.04,,,,,19005.85,13299.08,12764.85,,11256.6,17708.44,5710.53,14294.93,14534.12,11377.95,12356.26,13660.98,,10259.57,11070.82,,5462 Morud
39,306,5672,Broby,12666.15,6121.73,5634.83,7962.9,7460.78,9510.31,7415.29,8475.86,5926.36,,8082.26,6469.3,8373.4,5154.67,5109.88,4415.49,7894.11,4210.14,7799.64,6654.46,6134.05,5221.42,8805.4,7117.4,5824.65,9133.95,5371.46,7490.82,7169.34,5672 Broby
40,310,5220,Odense SØ,17621.12,16871.72,16238.35,16675.3,16861.06,15401.31,16602.71,20552.4,16784.25,16176.58,18038.02,16679.93,18594.77,18356.09,15165.27,16980.34,16829.0,20902.28,19085.92,18595.25,17286.87,17106.08,16155.45,17218.8,16472.18,19382.55,17838.53,19023.19,16233.11,5220 Odense SØ
41,341,5450,Otterup,,,,,,,,,11465.52,11636.08,15576.77,,,19610.23,14553.89,13025.38,9364.69,16049.41,11387.21,17058.5,18602.57,17060.1,13930.31,14780.14,14504.66,15139.23,13083.01,18686.8,10404.16,5450 Otterup
42,342,5450,Otterup,,,,,,,,,11465.52,11636.08,15576.77,,,19610.23,14553.89,13025.38,9364.69,16049.41,11387.21,17058.5,18602.57,17060.1,13930.31,14780.14,14504.66,15139.23,13083.01,18686.8,10404.16,5450 Otterup
43,343,5450,Otterup,,,,,,,,,11465.52,11636.08,15576.77,,,19610.23,14553.89,13025.38,9364.69,16049.41,11387.21,17058.5,18602.57,17060.1,13930.31,14780.14,14504.66,15139.23,13083.01,18686.8,10404.16,5450 Otterup
44,344,5450,Otterup,,,,,,,,,11465.52,11636.08,15576.77,,,19610.23,14553.89,13025.38,9364.69,16049.41,11387.21,17058.5,18602.57,17060.1,13930.31,14780.14,14504.66,15139.23,13083.01,18686.8,10404.16,5450 Otterup
45,345,5450,Otterup,,,,,,,,,11465.52,11636.08,15576.77,,,19610.23,14553.89,13025.38,9364.69,16049.41,11387.21,17058.5,18602.57,17060.1,13930.31,14780.14,14504.66,15139.23,13083.01,18686.8,10404.16,5450 Otterup
46,373,5882,Vejstrup,7819.05,,4237.29,,,,,,,,7551.72,11887.42,3642.38,,13122.07,8734.93,,6071.43,,6190.48,9964.29,606.06,28770.83,9684.68,10221.5,,5100.0,12766.55,7164.63,5882 Vejstrup
47,404,5550,Langeskov,9524.0,11950.0,13942.74,9068.57,8821.99,9966.29,17603.76,10482.46,10778.8,8712.49,8043.63,17132.98,9898.02,11285.71,11422.25,10143.22,11220.48,11108.68,9622.79,11021.13,11717.74,10808.44,10985.36,12297.48,12430.8,12696.3,11818.49,12210.82,11150.34,5550 Langeskov
